twitterUsername,politicalParty,tweetText
ChrisMurphyCT,D,RT @jaketapper: We're in a pandemic where officials need to communicate with the public. Among those we requested for @CNNSotu this morning...
ChrisMurphyCT,D,"Spin Doctors. Albany, October 92. 

I also saw Big Head Todd and the Monsters twice. Willingly. https://t.co/zxZcIsfmZn"
ChrisMurphyCT,D,"If it makes you feel better, keep believing Fauci and Redfield are in charge of #COVID19 response. 

But they aren'... https://t.co/5aOKsqFB1t"
ChrisMurphyCT,D,"This is what happens when our President is doing everything he can to spread the virus. 

He's dialing back testing... https://t.co/klzMWdtnP0"
ChrisMurphyCT,D,RT @ScottGottliebMD: Covid hospitalizations in the U.S. are steadily rising; an objective measure of increasing disease burden around the c...
ChrisMurphyCT,D,Accountability - @JahanaHayesCT provides her constituents with town by town statistics on casework and grants. (for... https://t.co/nMtzZnBQDj
ChrisMurphyCT,D,Wisconsin is experiencing a #COVID19 surge right now. And 8 of 10 attendees at Trump's rally today are wearing mask... https://t.co/yiqihhQncN
ChrisMurphyCT,D,It's a good thing the Red Sox traded Mookie. His best days were clearly behind him.  https://t.co/i6HQl5bMBW
ChrisMurphyCT,D,RT @PeteAbe: Imagine trading that guy.
ChrisMurphyCT,D,"RT @JessicaPost: This is an amazing update--thanks to all of you and Senators @brianschatz, @ChrisMurphyCT, @CoryBooker we have raised $500,..."
ChrisMurphyCT,D,"At big time sports schools, the two sports that make money are played by mostly Black students, and instead of the... https://t.co/RaEkVdDt7j"
ChrisMurphyCT,D,"RT @davidgura: In 1974, Joe Biden bought this house in Greenville, Delaware, for $185,000. 
 
He sold the property 24 years ago.
 
https://..."
ChrisMurphyCT,D,"Hey @brianschatz @CoryBooker @SenJeffMerkley Sundays are our blowout fundraising days, and we've effectively got 2... https://t.co/NdMleqVMGC"
ChrisMurphyCT,D,RT @dave_brown24: It's been a busy morning for the good people at @PerdueChicken https://t.co/dNANe7mtKe
ChrisMurphyCT,D,"Just checking back in to see if it's ""another time"" yet...

No? We're just going remain totally silent on the attem... https://t.co/eUBonWe2OV"
ChrisMurphyCT,D,"8/ And American media do have major credibility, for good reason. They do amazing work, and get most stories 100% r... https://t.co/14jWvAWrcc"
ChrisMurphyCT,D,7/ Why is it important for media to not simply pick this story up and amplify it? Why should we be offended that th... https://t.co/CEY79Md5qo
ChrisMurphyCT,D,"6/ Further, media don't need a Pulitzer to see the whole story as super fishy.

A pro-Trump computer repairman myst... https://t.co/pjXy60G7MJ"
ChrisMurphyCT,D,"5/ And you don't have to believe me. Believe the Department or Justice - Trump's own FBI is investigating the ""leak... https://t.co/iGA2ZZ5iQM"
ChrisMurphyCT,D,"4/ Whether he knows it or not, Giuliani is effectively a Russian asset now. It's almost certain that any anti-Biden... https://t.co/mbQyCe8im0"
ChrisMurphyCT,D,3/ Andriy Derkach was a top Russian agent. He was unmasked by the Treasury Dept this summer. Derkach and his team r... https://t.co/gL0puFhP0i
ChrisMurphyCT,D,2/ Russia knew it had to play a different game than 2016. So it built an operation to cull virulently pro-Trump Ame... https://t.co/rDk36L7bAi
ChrisMurphyCT,D,Joe Biden - and all of us - SHOULD be furious that media outlets are spreading what is very likely Russian propagan... https://t.co/xOY4vijZYN
ChrisMurphyCT,D,RT @QuickforNC: Thank you for supporting local races! Time to flip North Carolina- the most gerrymandered state in the country. Let's do th...
ChrisMurphyCT,D,David knows Kamala. He knows how to pronounce her name. This is awful. https://t.co/0K5clByzBo
ChrisMurphyCT,D,"RT @ossoff: My opponent, GOP Sen. David Perdue of anti-Semitic attack ad infamy, just mocked Sen. Harris' name as ""Kamala-mala-mala-whateve..."
ChrisMurphyCT,D,RT @jonkarl: SIREN! The Biden Town Hall on ABC drew 2.3 million more viewers than the Trump town hall on NBC. There is nothing @realDonaldT...
ChrisMurphyCT,D,Republicans who suddenly want to regulate the political content decisions of social media companies might find a lo... https://t.co/lr8ol3jZMK
ChrisMurphyCT,D,"So this is important. Mostly because once VOA loses its reputation for objectivity, and international viewers just... https://t.co/nOYL5VHmiP"
ChrisMurphyCT,D,Shocking. https://t.co/CffI0OKl4K
ChrisMurphyCT,D,Hello. Just a quick morning reminder that no private company is obligated under law to become an arm of Russian pro... https://t.co/MAXirW0BGR
ChrisMurphyCT,D,"Great job team - we beat our goal. 

2,067 donated $160,000 last night to help flip 10 state legislative chambers.... https://t.co/ANu0l2efwE"
ChrisMurphyCT,D,RT @seungminkim: .@ChrisMurphyCT is proposing new legislation to outlaw political pressure on journalists at the Voice of America and other...
ChrisMurphyCT,D,"RT @LorenzoForTexas: I'm grateful to Senators @brianschatz + @ChrisMurphyCT for amplifying donations to our campaign 

Texas has a long hi..."
ChrisMurphyCT,D,RT @CoryBooker: This may be one of THE MOST IMPORTANT things we can donate to this election @brianschatz and @ChrisMurphyCT - I hope people...
ChrisMurphyCT,D,Hey this is real folks. Call your friends in Alaska and get em moving. https://t.co/XEjgXFJUnN
ChrisMurphyCT,D,Actually thanks Hawaii bc we have until midnight Hawaii time - so 6am east coast time. But why wait until the liter... https://t.co/qo4v00kcUo
ChrisMurphyCT,D,Oh my gosh. Watch the other answer first and then watch Greenfield nail it. https://t.co/TOs5bcHlGx
ChrisMurphyCT,D,"RT @patrynard: While everyone's paying attention to the presidential town halls, the biggest moment in the #IASen race just happened in the..."
ChrisMurphyCT,D,We can't fix democracy if we don't end political gerrymandering. Dems get more votes in North Carolina than Republi... https://t.co/TcxDCSKZiR
ChrisMurphyCT,D,"Since we're reminiscing about our state legislative races @brianschatz, here's the cartoon that ran the day I annou... https://t.co/8ggdkjZ0yY"
ChrisMurphyCT,D,God we need this guy. https://t.co/yuRZpJcTwq
ChrisMurphyCT,D,"This is nuclear grade batshit. 

""People can decide"" whether Biden assassinated Navy SEALs to cover up the fake kil... https://t.co/U3xHmey7It"
ChrisMurphyCT,D,Hey @brianschatz this thing is moving fast. We just crossed $100K for the fund to flip 10 state legislative chamber... https://t.co/h2JFlN7f2z
ChrisMurphyCT,D,RT @brianschatz: Hey Twitter was down for a little bit but somehow we are at 90 grand for local candidates. Instead of hate-watching the Tr...
ChrisMurphyCT,D,RT @ConanOBrien: I can't remember the last time I was this shocked by an NBC programming decision.
ChrisMurphyCT,D,"The Texas statehouse is the holy grail. We win Texas, we undo their gerrymandered U.S. House map.

We need to flip... https://t.co/2pZgvq1BGS"
ChrisMurphyCT,D,"Tonight @brianschatz and I are asking you to do something different - to make our 2020 victory overwhelming. 

Help... https://t.co/dLU2IyA5d1"
ChrisMurphyCT,D,The return on investment here is OFF THE CHARTS. All the money we raise tonight gets split among 48 local races tha... https://t.co/ApZg5bd2TU
ChrisMurphyCT,D,Yeah state legislatures are where redistricting maps and voting laws are written. Dems have ignored these races for... https://t.co/ZtdExzRCrr
ChrisMurphyCT,D,We're listening... https://t.co/dDDcg1Y8wv
ChrisMurphyCT,D,"RT @AshleyAfonso: HAPPENING NOW: @ChrisMurphyCT holding news conference, he is calling Supreme Court Nominee Amy Coney Barrett a ""radical""..."
ChrisMurphyCT,D,"I wasn't sure so I checked. As it turns out, there is nothing in the Constitution that compels private companies to... https://t.co/J2sMOdXJNE"
ChrisMurphyCT,D,Got together w census advocates today in Meriden to encourage everyone who hasn't gone to https://t.co/n8cZBTnB53 t... https://t.co/rwfPvpwTae
ChrisMurphyCT,D,His recognition of Dairy Queen's greatness is reason enough to make him President. https://t.co/coeansGKXt
ChrisMurphyCT,D,Holy shit. https://t.co/ErzM1BKjSS
ChrisMurphyCT,D,"RT @GabbyGiffords: Mark never planned to be a senator, but he knows when it's time to serve. Serve his family, serve our country, and serve..."
ChrisMurphyCT,D,"Women couldn't vote. 
Slavery was legal. 
AR-15s and the internet and electric lights didn't exist. 

But originali... https://t.co/ss0g9tFcRg"
ChrisMurphyCT,D,Joined addiction treatment providers in Norwich today for an outdoor roundtable about the stakes of the Coney Barre... https://t.co/MND4hKuCpt
ChrisMurphyCT,D,"RT @pkcapitol: One key thing Mnuchin has missed: Eric Ueland. 
He was WH leg affairs director during 1st 4 covid relief bills, Mnuchin's Sh..."
ChrisMurphyCT,D,Spent some time at Generations community health center today in Willimantic. They are seeing a small spike in COVID... https://t.co/0A7IGebqDl
ChrisMurphyCT,D,"Proud of my friend [?]@JahanaHayesCT[?]. This is essential reading, folks. 

""We are left debating zoom security, yet n... https://t.co/NGVwq0AjXE"
ChrisMurphyCT,D,"When evaluating any information provided to anyone by Rudy Giuliani, just remember he's been parading around with a... https://t.co/xtF8RfIXo1"
ChrisMurphyCT,D,"a. 365 questions seems like a lot in 45 days. 

b. Does it matter that Trump has answered more if he's lying throug... https://t.co/wfn3bxLC28"
ChrisMurphyCT,D,"These stories about Trump's ""hectic"" ""marathon"" ""frenzied"" closing schedule drive me crazy. 

Sounds like he is doi... https://t.co/GrNnEJ5nGQ"
ChrisMurphyCT,D,Closing the race by making fun of seniors. Smart move. https://t.co/S08v9lnNiC
ChrisMurphyCT,D,Just a tour de force by [?]@SenWhitehouse[?] today. In this article is a link the most powerful 10 minutes. Watch it -... https://t.co/FxwZ6pjR7j
ChrisMurphyCT,D,RT @DeCAGV: Thrilled to hear from @CAGVNews @ChrisMurphyCT and Janet Rice. The loss of Janet's son Shane Oliver is a central focus of Senat...
ChrisMurphyCT,D,"RT @IrelandEmbUSA: Following their meetings with @simoncoveney in DC two weeks ago, we welcome Senators @PatToomey &amp; @ChrisMurphyCT's stron..."
ChrisMurphyCT,D,Cory was asking a specific question: Does she believe in the PEACEFUL transition of power - meaning forsaking the u... https://t.co/qw2egJkAvw
ChrisMurphyCT,D,"If you are pissed off at what Senate Republicans are doing on TV today, then we have one recourse - WIN THE SENATE.... https://t.co/LNiA13RCZ7"
ChrisMurphyCT,D,"Ok let's do it. 

Republicans are on TV today trying to compete the final act of destroying the Affordable Care Act... https://t.co/EoNVzxA4v8"
ChrisMurphyCT,D,"Hey @brianschatz the amount of $$ people did for Michigan was nuts. Thank you team. 

But Michigan's not the only f... https://t.co/Ljp9wQxkNj"
ChrisMurphyCT,D,RT @gdebenedetti: 3 minutes after the MICHIGAN tweet... https://t.co/bUZ1RDEJGz
ChrisMurphyCT,D,RT @ChrisCoons: Senator Lindsey Graham just opened the hearing to confirm Judge Barrett to the Supreme Court by attacking the Affordable Ca...
ChrisMurphyCT,D,Incredibly we are closing in on a half million dollars raised in just over 24 hours. A few more donations overnight... https://t.co/v151RECnjo
ChrisMurphyCT,D,My god. I'm so sorry Jahana. https://t.co/oFUkEa7S8c
ChrisMurphyCT,D,"Yesterday @brianschatz and I asked you to help our colleague Gary Peters in Michigan.

Well, NYT just released a... https://t.co/awRnF46Fkf"
ChrisMurphyCT,D,11/ That's why Republicans are rushing her nomination. The hearing on the case is the week after election day. They... https://t.co/khgR97N6Go
ChrisMurphyCT,D,10/ So Trump decided to take no chances when picking the deciding vote. Amy Coney Barrett is a no doubter. She is v... https://t.co/s9sZJuiQGq
ChrisMurphyCT,D,9/ Now the case is in front of SCOTUS. Alito and Thomas have already ruled against the ACA. Their votes are known.... https://t.co/sbyRlwyhSK
ChrisMurphyCT,D,"8/ Many thought the suit, Texas v. U.S., was bogus, but they underestimated McConnell and Trump's plan. Last Decemb... https://t.co/sjM91HS0Hz"
ChrisMurphyCT,D,"7/ Then, the court strategy began. 20 GOP AGs filed a suit alleging that the repeal of the mandate tax required the... https://t.co/b6xQK7EtlL"
ChrisMurphyCT,D,6/ Then McConnell began his campaign to pack the federal courts w anti-ACA ideologues who would rule against the AC... https://t.co/172y4Mul5d
ChrisMurphyCT,D,"5/ The plan began with tucking into the 2017 Trump tax bill a repeal of the individual mandate tax. Curiously, the... https://t.co/0ymRHSc9pZ"
ChrisMurphyCT,D,"4/ But after McCain's thumbs down in 2017, Republicans came up with a new plan. If voters wouldn't allow them to re... https://t.co/MWhDCSlLIC"
ChrisMurphyCT,D,"3/ At first, Republicans' chanted ""repeal and replace"" - but they NEVER had a plan to replace it.

In 2017, with mu... https://t.co/pQFT6nVzJi"
ChrisMurphyCT,D,"2/ From the start, Republicans were obsessed - I mean OBSESSED - with getting rid of the ACA. Nothing mattered more... https://t.co/KVpmHqYMR9"
ChrisMurphyCT,D,1/ Republicans are suddenly trying to pretend that their rush to confirm Amy Coney Barrett isn't about ACA repeal.... https://t.co/DsGgzLzsHj
ChrisMurphyCT,D,"This is a bit weedy, but a must read for Connecticut policy-makers. CT's school finance system is one of the most r... https://t.co/Ghj0yWZlEB"
ChrisMurphyCT,D,"Here's the September/October 2016  polling from Pennsylvania. 

This isn't over. Work your asses off from now until... https://t.co/RFxM9DD71H"
ChrisMurphyCT,D,"So the entire GOP establishment, including Trump, are pushing a lawsuit they know will fail? BS. In fact, both lowe... https://t.co/gNBVpdUNId"
ChrisMurphyCT,D,"This is kind of disturbing. But thanks, I think, @chelseaperetti. 

Up to $310,188 from 9,620 donors for... https://t.co/lO46Ozeae4"
ChrisMurphyCT,D,RT @ScottGottliebMD: The NBA went to extraordinary lengths to create a Covid safe environment for the league so that it could provide Ameri...
ChrisMurphyCT,D,"Amazing job, team. Another huge day. 

$280,000 (over a quarter million!!) will go a long way toward locking down M... https://t.co/AJGaqenCqf"
ChrisMurphyCT,D,Worth a watch. https://t.co/kfT1GeI1gj
ChrisMurphyCT,D,Quick story - Gary was elected in '08 from a GOP leaning district. Most of his freshmen classmates voted against th... https://t.co/r5lZP0Seg9
ChrisMurphyCT,D,"RT @danpfeiffer: When it comes to the Supreme Court, the balance of media attention between something Democrats could possibly, maybe do on..."
ChrisMurphyCT,D,I am mostly raising money for @GaryPeters today but also have my eye on #NYGvsDAL and omg that was gruesome.
ChrisMurphyCT,D,"Yes he may still be sick. But ""going on the road"" means a 1 hour rally and 14 hours of watching TV. It's not like h... https://t.co/jFGZhmhx6M"
ChrisMurphyCT,D,RT @brianschatz: There is a nonzero chance that either @CoryBooker or @chelseaperetti will thank you on twitter if you give.
ChrisMurphyCT,D,RT @DavidaBWilliams: Vote @GaryPeters for Senate in Michigan! Donate if you're able and share
ChrisMurphyCT,D,"RT @ChrisMurphyCT: We can't flip the Senate if we don't hold Michigan. Me, @brianschatz, @chelseaperetti and others are hosting a social me..."
ChrisMurphyCT,D,I choose to take this as a compliment. https://t.co/tmGjCDlNu4
ChrisMurphyCT,D,RT @brianschatz: OK NEW GOAL TEAM. 200 THOUSAND! LET'S GO AND TAKE THE SENATE SORRY FOR YELLING! [?]@CoryBooker[?] [?]@ChrisMurphyCT[?] [?]@GaryPeter...
ChrisMurphyCT,D,RT @CoryBooker: I'm in @brianschatz! We have to get Gary some help. We must defend that Senate seat as Mitch McConnell has it targeted so h...
ChrisMurphyCT,D,"Though the purpose of the livestream today w @brianschatz and @chelseaperetti was to raise $ for @GaryPeters, there... https://t.co/s7B1FK0w1e"
ChrisMurphyCT,D,"We set a goal of raising $150,000 for @GaryPeters today. And we just passed $125K.

Betsy Devos's #1 target is Gary... https://t.co/Gw57djVW0Z"
ChrisMurphyCT,D,"RT @kumailn: If you can afford to, please click on the link below to donate to Gary Peters. Dems need to hold onto the Michigan seat &amp; the..."
ChrisMurphyCT,D,"RT @MurrayCampaign: We need to keep leaders like @GaryPeters in the Senate. Chip in now: 
https://t.co/wYni96Tkvd https://t.co/bnHbu3AQFk"
ChrisMurphyCT,D,She showed up!! https://t.co/S0gcmAth4I
ChrisMurphyCT,D,omg we are at $60K in 45 minutes! @brianschatz and I are on Twitter live and we aren't stopping until we hit hit $1... https://t.co/h37heuzz0c
ChrisMurphyCT,D,"We can't flip the Senate if we don't hold Michigan. Me, @brianschatz, @chelseaperetti and others are hosting a soci... https://t.co/aI9zDDzl9W"
ChrisMurphyCT,D,I'm available. https://t.co/S0gcmAth4I
ChrisMurphyCT,D,"Michigan is the firewall. And it's a tight race for Senate.

Peters 47
James 44

But our pal Gary Peters is in quar... https://t.co/1xFLlEMqUx"
ChrisMurphyCT,D,On it. Hold for link. https://t.co/RcZUILe1S8
ChrisMurphyCT,D,"Hey @brianschatz @CoryBooker @JeffMerkley it's showtime. 

Let's pick a race today where we get a big bang for the... https://t.co/0Z2415vriw"
ChrisMurphyCT,D,"RT @SirCamCarter: Y'all, please watch this. I'm hollering omg  https://t.co/a7bPSt1FVT"
ChrisMurphyCT,D,"RT @joshrogin: I for one don't believe endorsements really matter, but just FYI, the Taliban have come out publicly for Trump. https://t.co..."
ChrisMurphyCT,D,"Who cares that Trump ""rejects"" the Taliban's endorsement? The point is the terrorist group jointly responsible for... https://t.co/dakMSlI0ls"
ChrisMurphyCT,D,Fine. I'm in. Sunday. Raise a ton of money for a Senate race that matters. Got it. https://t.co/xqKPsFraj4
ChrisMurphyCT,D,RT @brianschatz: @ChrisMurphyCT Sounds like it's gonna be a nice little Sunday Murph.
ChrisMurphyCT,D,"Nah. I'm busy. Home Depot. Buy some wallpaper, flooring, stuff like that. Maybe Bed Bath &amp; Beyond. I don't know if... https://t.co/XO8noWnPmU"
ChrisMurphyCT,D,"RT @JoeBiden: Folks, if you live in:

Idaho
New York
North Carolina
Oklahoma

Today is your last day to register to vote. Head to https://t..."
ChrisMurphyCT,D,"RT @AnaCabrera: FAUCI: ""The data speak for themselves. We had a superspreader event in the White House."" (CBS News Radio interview)"
ChrisMurphyCT,D,Yes. I think he is. https://t.co/bFOL26SOzM
ChrisMurphyCT,D,"Trump said today, ""Putin probably, possibly likes me. But...I guarantee you he'd rather see Biden.""

This is, of co... https://t.co/RY84ZWyGbN"
ChrisMurphyCT,D,"For the record, I think this whole saga has been wonderful and badly needed and a great advertisement for an incred... https://t.co/KqvRhtEIeS"
ChrisMurphyCT,D,"In his effort to win over more Black voters, yesterday President Trump sued Yale University for admitting too many... https://t.co/6wfr1Veikg"
ChrisMurphyCT,D,A tiny silver lining of the Great Recession was that lack of work didn't stop people from going to school. Communit... https://t.co/pZo21uJGOr
ChrisMurphyCT,D,"This is an an existential problem, that left unsolved will sink America, that only public policy can fix.
https://t.co/0SMlYCh5Nm"
ChrisMurphyCT,D,"Your morning reminder that President Trump is spending the final weeks of the election:

- getting millions in free... https://t.co/yYKGpOMnkq"
ChrisMurphyCT,D,"The Houthis, like the Saudis, have done very bad things during the Yemen civil war. 

But designating them as a ter... https://t.co/f8kq9xVxDx"
ChrisMurphyCT,D,"This is important. Wherever you live, sign up for this. 

We can win Texas. But only if we do the work. https://t.co/XQ4DmaeXc7"
ChrisMurphyCT,D,We are reminded over and over - from Oklahoma City to El Paso to Michigan - that the real threat to America's safet... https://t.co/BhwhY1xJcR
ChrisMurphyCT,D,Wow. So impressed by what Branford biotech company Tangen is doing to create handheld #COVID19 testing devices. Tru... https://t.co/w89R8LplYp
ChrisMurphyCT,D,Or just terrorists. https://t.co/5WnPWonCGA
ChrisMurphyCT,D,"Nice, @DennisHouseTV! 

Of course, every day is a great day to read a book by me!  https://t.co/25PbSxyVJx"
ChrisMurphyCT,D,"8/ This is all REALLY radical stuff. 

Coney Barrett will be the 5th vote to rewrite the 2nd Amendment. SCOTUS will... https://t.co/BS4XDfUynQ"
ChrisMurphyCT,D,"7/ But Wisconsin HAD provided proof. It just wasn't ENOUGH for Barrett, who clearly had read plenty of NRA-funded s... https://t.co/j6HNmtwDWk"
ChrisMurphyCT,D,"6/ Second, she said that legislatures had to ""prove"" that the gun law they passed would reduce violence, and claime... https://t.co/y9BWgQJHDT"
ChrisMurphyCT,D,"5/ In Kanter, Barrett said two things that made clear she intends to legislate from the bench.

First, she said tha... https://t.co/uDjN0FaZav"
ChrisMurphyCT,D,"4/ But it's not just her general philosophy - it's her stunning dissent in Kanter v. Barr. There, she broke with de... https://t.co/crCbm1vKoN"
ChrisMurphyCT,D,"3/ So, for instance, that makes it easy for her to rule against bans on weapons that didn't exist in the 1700s (lik... https://t.co/I8IrRoyd0n"
ChrisMurphyCT,D,"2/ Like Gorsuch/Kavanaugh/Alito/Thomas, she is an ""orginalist"" on guns. It's total BS - just a way to legislate fro... https://t.co/XNZCQjP1Vh"
ChrisMurphyCT,D,"1/ In light of Amy Coney Barrett's dangerous views on choice and the ACA, her views on guns haven't gotten much att... https://t.co/O6BcusiXNn"
ChrisMurphyCT,D,omg https://t.co/bZw3J83b3j
ChrisMurphyCT,D,Fairhaven Community Health Center in New Haven has free #COVID19 testing Monday-Friday 9-5.  Call 203-871-4179 for... https://t.co/peoCLLZnhN
ChrisMurphyCT,D,Trump seems to have lost 2-3 points after the first debate. So politically the right move for him is to run and hid... https://t.co/PfAkL5tWtG
ChrisMurphyCT,D,"This really isn't about about getting Iran to negotiate. That ship has sailed. 

Now the primary impact of these sa... https://t.co/aFRyUUsoFA"
ChrisMurphyCT,D,No President in American history has been better for China than Donald Trump. No way for Pence to spin otherwise.... https://t.co/SDQtAab27t
ChrisMurphyCT,D,MJ Hegar can win.
ChrisMurphyCT,D,"RT @ASlavitt: Update on what's happening at 1600 Superspreader Avenue.

With [?]@Bob_Wachter[?] and [?]@ChrisMurphyCT[?]  https://t.co/0TH03PsfWE"
ChrisMurphyCT,D,"RT @markos: New @civiqs Texas poll for @DailyKos: Biden and Trump tied at 48. Cornyn (R) 47, Hegar (D) 46. This one is real, folks! No wond..."
ChrisMurphyCT,D,"RT @JoeBiden: Ignore the polls, folks. There's too much at stake for us to get complacent.

Vote: https://t.co/eoxT07uII9
Donate: https://t..."
ChrisMurphyCT,D,This would seem to be the kind of thing that could go unsaid. But I guess not. https://t.co/IembSgzC74
ChrisMurphyCT,D,"We passed our goal of $50,000 to help @BarbaraBollier win the Kansas Senate race, but Schatz and I aren't ending th... https://t.co/l6j5FtAPuu"
ChrisMurphyCT,D,"Hey @JeffMerkley just joined us on our @BarbaraBollier telethon!

Tune in and make a donation to help Barbara win.... https://t.co/ISvBvflBRr"
ChrisMurphyCT,D,No idea if this will work but @brianschatz &amp; I are hosting our first-ever social media telethon. We believe... https://t.co/p8C58s1dAg
ChrisMurphyCT,D,RT @Drew_Hammill: Speaker Pelosi &amp; Secretary Mnuchin spoke briefly at 3:30 p.m. by phone. The Secretary confirmed that the President has wa...
ChrisMurphyCT,D,"Thanks to First Choice Health Center, @MayorMarcia, @SaudAnwarCT for showing me around the mobile #COVID19 testing... https://t.co/QY6cvJXZUT"
ChrisMurphyCT,D,"I think we can. But I have an idea - social media telethon. 

You and me (maybe others?) - Twitter Live and Faceboo... https://t.co/XpWlPfdEWg"
ChrisMurphyCT,D,"So the homestretch strategy is

- turn the White House into a COVID superspreader
- block any more emergency COVID... https://t.co/xSMg47OEE5"
ChrisMurphyCT,D,"Listen, Kansas is winnable. They just elected a Dem Gov, and a poll from 2 weeks ago had Bollier UP two points. 

A... https://t.co/AsD3z1V2jb"
ChrisMurphyCT,D,"Yes. I'm ready. It's just 100% clear these guys have lost the right to govern. 

Let's pick a race where the money... https://t.co/Qc7ziunrR1"
ChrisMurphyCT,D,"This is a lie. The flu doesn't kill 100,000 a year. https://t.co/knq0SiIDmF"
ChrisMurphyCT,D,"RT @BetoORourke: Texas-sized voter phone bank with (get this!!!) @WillieNelson, @Oprah, @BernieSanders, @JulianCastro, @StaceyAbrams, @Andr..."
ChrisMurphyCT,D,"Little known fact, Sam - in most New England states it's a class D misdemeanor to call Dunkin Donuts food ""at best,... https://t.co/hBn532u0qQ"
ChrisMurphyCT,D,"DC, which had done a good job of controlling the spread since March, records its highest number of new cases in mon... https://t.co/bmqNuJO6Gs"
ChrisMurphyCT,D,"Congrats!

And as perhaps Bradley's most frequent customer I can confirm that it is, in fact, a wonderful airport.... https://t.co/F0VYUZaBYX"
ChrisMurphyCT,D,"My guess is ""I'm going to be a Supreme Court justice for the 40 years and rewrite the Constitution to fit my politi... https://t.co/nciD2vWiKP"
ChrisMurphyCT,D,"Given how many Republican Senators have tested positive and how reckless they have acted, I got tested this morning... https://t.co/h9g7sBy6qn"
ChrisMurphyCT,D,At some point everyone needs to come to this easy conclusion: they want the virus to spread and more people to get... https://t.co/3Pje1pJSxW
ChrisMurphyCT,D,"RT @nowthisnews: 'The Supreme Court vacancy makes it clear that in 2020, your health care is on the ballot.' -- Sen. @ChrisMurphyCT shares w..."
ChrisMurphyCT,D,"In all seriousness, the President's incompetence has already gotten 200,000 killed. The consequences of this tweet... https://t.co/AxpWmGSE59"
ChrisMurphyCT,D,"Don't be afraid, says the guy with a team of a dozen doctors, access to experimental treatments that no one else ge... https://t.co/f41mFINuNE"
ChrisMurphyCT,D,RT @benstracy: I felt safer reporting in North Korea than I currently do reporting at The White House. This is just crazy.
ChrisMurphyCT,D,"Admittedly, the CDC has issued three different rules in 2 months (due to political pressure from the White House).... https://t.co/1yY3ryoeAt"
ChrisMurphyCT,D,Okay. https://t.co/3QCcA2fXcI
ChrisMurphyCT,D,"RT @mviser: Yesterday, and today. https://t.co/cjkmwtF0tq"
ChrisMurphyCT,D,"These people think this is all a game.

Everyone in that White House who was exposed to Hope Hicks and the Presiden... https://t.co/eiQjM8Zl8f"
ChrisMurphyCT,D,This is an important story. I'm talking w my team right now on how Congress should react. https://t.co/pAly3Xxyqv
ChrisMurphyCT,D,Hey [?]@brianschatz[?] - check this out: election data wiz Sean McElwee says the most important thing anyone can do rig... https://t.co/aADDfuISYs
ChrisMurphyCT,D,Yes. https://t.co/nqYcIJpHE2
ChrisMurphyCT,D,"RT @HillaryClinton: Today is the deadline to register to vote in several states, including Arizona, Arkansas, Florida, Georgia, Ohio, and T..."
ChrisMurphyCT,D,"Hey - my friend @JohnBKing, Obama's Secretary of Education, is launching a new progressive org today dedicated to b... https://t.co/o648DwJzna"
